Node Number	X Location (m)	Y Location (m)	Z Location (m)	
281	6,6463e-002	4,3681e-002	0,	
282	6,7032e-002	3,1413e-002	0,	
283	6,6923e-002	6,8557e-002	0,	
284	6,6306e-002	5,6231e-002	0,	
285	3,3803e-002	1,3661e-002	0,	
286	7,1626e-002	3,3794e-002	0,	
287	8,6415e-002	7,2125e-002	0,	
288	1,231e-002	3,7956e-002	0,	
289	2,6573e-002	9,4462e-002	0,	
290	7,2723e-002	6,3302e-002	0,	
291	0,11019	7,2263e-002	0,	
292	5,186e-002	9,2164e-002	0,	
293	4,7111e-002	8,7373e-002	0,	
294	0,13147	6,6794e-002	0,	
295	0,11905	8,0982e-002	0,	
296	7,9576e-002	9,0218e-002	0,	
297	0,11831	6,0693e-002	0,	
298	9,0128e-002	3,7971e-002	0,	
299	3,1749e-002	2,5251e-002	0,	
300	9,3531e-002	5,3872e-002	0,	
301	9,8512e-002	5,1328e-002	0,	
302	7,9918e-002	5,5645e-003	0,	
303	3,5026e-002	8,5246e-002	0,	
304	3,0392e-002	4,8178e-002	0,	
305	2,7634e-002	4,7698e-003	0,	
306	9,9387e-002	4,1143e-002	0,	
307	7,1672e-002	4,0893e-002	0,	
308	1,1824e-002	6,4161e-002	0,	
309	2,5486e-002	6,6138e-002	0,	
310	4,1874e-002	5,5708e-003	0,	
311	4,9018e-003	5,1791e-002	0,	
312	1,4772e-002	5,575e-002	0,	
313	5,5548e-002	7,2174e-002	0,	
314	7,6575e-002	7,5595e-002	0,	
315	0,12046	4,9549e-002	0,	
316	0,12285	3,8696e-002	0,	
317	4,2461e-002	5,4375e-002	0,	
318	8,9233e-002	6,266e-002	0,	
319	8,8117e-002	9,4529e-002	0,	
320	5,2217e-002	4,5273e-002	0,	
321	2,6077e-002	7,5887e-002	0,	
322	8,8409e-002	8,3978e-002	0,	
323	3,4526e-002	7,1123e-002	0,	
324	0,1146	3,1758e-002	0,	
325	4,778e-002	4,9221e-003	0,	
326	3,5343e-002	2,0053e-002	0,	
327	2,4995e-002	3,7029e-002	0,	
328	9,152e-002	1,4644e-002	0,	
329	5,4695e-002	3,4055e-002	0,	
330	3,8093e-002	3,2013e-002	0,	
331	7,6254e-003	7,4015e-002	0,	
332	0,12974	8,7392e-002	0,	
333	3,2711e-002	4,6529e-003	0,	
334	4,3708e-002	4,092e-002	0,	
335	0,11245	8,5735e-002	0,	
336	8,372e-002	1,9186e-002	0,	
337	4,2445e-002	7,7502e-002	0,	
338	2,4797e-002	5,5256e-002	0,	
339	8,1725e-002	3,6344e-002	0,	
340	7,9314e-002	8,0977e-002	0,	
341	0,11445	6,9644e-002	0,	
342	3,2611e-002	6,0787e-002	0,	
343	0,10845	6,7731e-002	0,	
344	4,0585e-002	5,9028e-002	0,	
345	3,2816e-002	9,4097e-002	0,	
346	0,10357	9,3068e-002	0,	
347	0,10281	5,3766e-002	0,	
348	3,9472e-002	1,5393e-002	0,	
349	2,7234e-002	3,2237e-002	0,	
350	3,3188e-002	4,0523e-002	0,	
351	8,0842e-002	4,2539e-002	0,	
352	7,1041e-002	4,7412e-002	0,	
353	1,078e-002	3,2878e-002	0,	
354	0,1112	4,0973e-002	0,	
355	8,3671e-002	9,0033e-003	0,	
356	0,127	9,3421e-002	0,	
357	7,0966e-002	5,38e-002	0,	
358	8,0288e-002	4,8937e-002	0,	
359	3,1572e-002	7,6206e-002	0,	
360	5,007e-002	8,3024e-002	0,	
361	9,8994e-002	7,89e-002	0,	
362	5,3564e-002	2,2273e-002	0,	
363	0,11604	5,1464e-002	0,	
364	9,5169e-002	2,3266e-002	0,	
365	4,9018e-003	5,6788e-002	0,	
366	5,4221e-003	6,2773e-002	0,	
367	8,022e-002	5,555e-002	0,	
368	9,553e-002	1,7651e-002	0,	
369	9,8134e-002	6,3932e-002	0,	
370	9,4016e-002	2,8447e-002	0,	
371	5,3888e-002	5,9212e-002	0,	
372	1,7112e-002	6,643e-002	0,	
373	0,13535	5,8071e-002	0,	
374	2,932e-002	5,322e-002	0,	
375	5,2933e-002	7,3022e-003	0,	
376	5,3141e-002	5,4462e-002	0,	
377	1,6093e-002	3,3845e-002	0,	
378	3,5704e-002	3,5878e-002	0,	
379	6,214e-002	5,9126e-002	0,	
380	6,166e-002	4,7656e-002	0,	
381	6,1038e-002	4,0782e-002	0,	
382	6,1899e-002	5,3615e-002	0,	
383	4,4757e-002	4,9848e-002	0,	
384	4,553e-002	3,6187e-002	0,	
385	8,8947e-002	5,7031e-002	0,	
386	2,3645e-002	4,208e-002	0,	
387	5,469e-002	3,9864e-002	0,	
388	4,578e-002	5,8343e-002	0,	
389	9,3951e-003	5,3849e-002	0,	
390	0,11709	4,6242e-002	0,	
391	4,8623e-003	4,6846e-002	0,	
392	0,13556	7,8082e-002	0,	
393	8,2643e-002	8,5157e-002	0,	
394	8,2836e-002	7,6468e-002	0,	
395	7,1624e-002	5,8664e-002	0,	
396	9,3019e-002	9,444e-002	0,	
397	9,8159e-002	8,4625e-002	0,	
398	4,8846e-002	6,5736e-002	0,	
399	6,2368e-002	3,4371e-002	0,	
400	6,1352e-002	7,0417e-002	0,	
401	8,7599e-002	1,178e-002	0,	
402	0,11219	9,6242e-002	0,	
403	9,1495e-002	7,2805e-002	0,	
404	0,11482	5,6137e-002	0,	
405	8,9681e-002	4,4389e-002	0,	
406	2,0071e-002	5,7597e-002	0,	
407	4,8717e-002	1,4859e-002	0,	
408	1,923e-002	4,4005e-002	0,	
409	4,1461e-002	4,5128e-002	0,	
410	2,6939e-002	2,3443e-002	0,	
411	0,10933	3,3403e-002	0,	
412	4,4546e-002	1,739e-002	0,	
413	0,10814	4,6118e-002	0,	
414	3,5649e-002	8,9726e-002	0,	
415	3,8282e-002	4,0724e-002	0,	
416	0,12691	6,4511e-002	0,	
417	8,9952e-002	6,7909e-002	0,	
418	9,9624e-002	6,9947e-002	0,	
419	8,4933e-002	2,4587e-002	0,	
420	4,7947e-002	7,8666e-002	0,	
421	0,13522	5,2408e-002	0,	
422	0,13187	4,2997e-002	0,	
423	7,9278e-002	6,0049e-002	0,	
424	1,8948e-002	2,8877e-002	0,	
425	9,2202e-002	3,2781e-002	0,	
426	0,10368	2,4299e-002	0,	
427	0,11739	9,5723e-002	0,	
428	4,9101e-002	4,0523e-002	0,	
429	0,13229	8,2299e-002	0,	
430	7,564e-002	6,8278e-003	0,	
431	0,12508	4,3135e-002	0,	
432	9,3461e-002	8,4932e-002	0,	
433	0,11635	8,3789e-002	0,	
434	0,12739	5,6284e-002	0,	
435	0,13624	6,7466e-002	0,	
436	2,4826e-002	6,0301e-002	0,	
437	0,12946	5,1054e-002	0,	
438	0,10165	7,4715e-002	0,	
439	3,742e-002	5,3594e-003	0,	
440	5,4687e-003	3,1599e-002	0,	
441	0,10578	8,9818e-002	0,	
442	9,3633e-002	6,4549e-002	0,	
443	7,5948e-002	7,062e-002	0,	
444	6,1503e-003	4,328e-003	0,	
445	6,2382e-002	2,9359e-002	0,	
446	2,8593e-002	1,3685e-002	0,	
447	5,6185e-002	4,2733e-003	0,	
448	4,4436e-002	6,8143e-002	0,	
449	0,10042	3,6323e-002	0,	
450	0,12227	6,5433e-002	0,	
451	4,9585e-002	7,0271e-002	0,	
452	5,3305e-002	6,3759e-002	0,	
453	4,9615e-002	2,2617e-002	0,	
454	8,908e-002	5,0626e-002	0,	
455	3,406e-002	8,0323e-002	0,	
456	5,2614e-002	7,9493e-002	0,	
457	0,11555	7,9191e-002	0,	
458	3,2744e-002	5,6265e-002	0,	
459	0,10531	2,9751e-002	0,	
460	0,12578	7,643e-002	0,	
461	7,8568e-002	9,5511e-002	0,	
462	9,5984e-002	8,9337e-002	0,	
463	6,358e-003	9,5909e-002	0,	
464	7,4832e-002	6,6943e-002	0,	
465	5,6392e-002	9,5958e-002	0,	
466	4,3107e-002	3,1287e-002	0,	
467	3,3912e-002	5,1289e-002	0,	
468	3,787e-003	2,2816e-002	0,	
469	2,854e-002	6,198e-002	0,	
470	1,4094e-002	5,1582e-002	0,	
471	4,3217e-002	9,6292e-002	0,	
472	9,8706e-002	4,6354e-002	0,	
473	9,3839e-002	7,7494e-002	0,	
474	0,13659	9,1924e-002	0,	
475	0,13555	9,5734e-002	0,	
476	9,3083e-003	2,7902e-002	0,	
477	7,5264e-002	2,4507e-002	0,	
478	3,8602e-003	9,2707e-002	0,	
479	0,11355	4,4478e-002	0,	
480	2,9855e-002	8,4167e-002	0,	
481	3,7114e-003	7,673e-002	0,	
482	0,12484	4,7793e-002	0,	
483	0,11722	6,6237e-002	0,	
484	5,0245e-002	5,779e-002	0,	
485	0,12037	7,0344e-002	0,	
486	3,6794e-003	7,526e-003	0,	
487	0,11235	5,2614e-002	0,	
488	7,0454e-002	6,6295e-002	0,	
489	0,10677	9,6387e-002	0,	
490	2,2363e-002	9,6452e-002	0,	
491	0,10137	3,2509e-002	0,	
492	0,10321	4,9022e-002	0,	
493	7,3447e-002	3,3254e-003	0,	
494	0,119	7,8045e-002	0,	
495	5,4147e-002	4,9822e-002	0,	
496	5,7768e-002	6,142e-002	0,	
497	2,3193e-002	3,9835e-003	0,	
498	9,2055e-002	8,105e-002	0,	
499	0,12234	7,9397e-002	0,	
500	8,1251e-002	6,3541e-002	0,	
501	4,5748e-002	2,2238e-002	0,	
502	0,13548	6,338e-002	0,	
503	2,8862e-002	2,8104e-002	0,	
504	2,6832e-002	4,5207e-002	0,	
505	3,0897e-002	4,391e-002	0,	
506	3,5571e-003	4,0207e-002	0,	
507	5,5682e-002	2,5586e-002	0,	
508	0,11913	9,1417e-002	0,	
509	3,6471e-003	7,1853e-002	0,	
510	7,0626e-002	7,2666e-002	0,	
511	0,10648	6,3279e-002	0,	
512	0,10186	6,1597e-002	0,	
513	0,10946	8,9102e-002	0,	
514	1,5826e-002	6,0853e-002	0,	
515	0,12336	5,6878e-002	0,	
516	7,6801e-002	3,1435e-003	0,	
517	0,11068	2,8903e-002	0,	
518	1,1466e-002	7,2419e-002	0,	
519	0,12457	7,2669e-002	0,	
520	1,869e-002	7,1315e-002	0,	
521	3,3883e-003	6,7978e-002	0,	
522	4,4172e-002	9,1943e-002	0,	
523	0,11293	5,9365e-002	0,	
524	4,7853e-002	9,6509e-002	0,	
525	0,12867	4,0748e-002	0,	
526	7,8148e-002	8,5933e-002	0,	
527	8,3668e-002	3,3121e-002	0,	
528	8,9054e-002	2,895e-002	0,	
529	8,5837e-002	3,606e-002	0,	
530	5,837e-002	3,1832e-002	0,	
531	5,7273e-002	5,2148e-002	0,	
532	5,7027e-002	4,6847e-002	0,	
533	7,5913e-002	2,9992e-002	0,	
534	4,0148e-002	7,2143e-002	0,	
535	0,13111	9,6478e-002	0,	
536	0,1366	8,2504e-002	0,	
537	0,11093	7,6193e-002	0,	
538	0,1063	7,4485e-002	0,	
539	0,10699	8,2406e-002	0,	
540	3,6197e-002	5,9006e-002	0,	
541	0,12098	8,3562e-002	0,	
542	7,9555e-002	2,1799e-002	0,	
543	5,1777e-002	1,844e-002	0,	
544	0,12898	7,2296e-002	0,	
545	5,4746e-002	2,9735e-002	0,	
546	0,10634	5,6586e-002	0,	
547	0,10303	5,7856e-002	0,	
548	5,6866e-002	6,6971e-002	0,	
549	6,2061e-002	6,4708e-002	0,	
550	5,2075e-002	9,6886e-002	0,	
551	2,3474e-002	7,1478e-002	0,	
552	9,5468e-002	3,673e-002	0,	
553	7,9455e-002	6,7235e-002	0,	
554	7,6368e-002	6,0996e-002	0,	
555	0,10881	6,0061e-002	0,	
556	0,10281	9,681e-002	0,	
557	5,194e-002	3,3269e-003	0,	
558	7,5051e-002	9,3823e-002	0,	
559	3,4742e-002	8,0676e-003	0,	
560	7,1615e-002	9,618e-002	0,	
561	8,7746e-002	1,6921e-002	0,	
562	8,3409e-002	1,3996e-002	0,	
563	8,7829e-002	2,1131e-002	0,	
564	5,1925e-002	8,689e-002	0,	
565	0,11319	3,643e-002	0,	
566	5,1386e-002	3,1785e-002	0,	
567	4,7607e-002	2,6045e-002	0,	
568	2,802e-002	8,0306e-002	0,	
